Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,C_Elec_8x10.2,127.762,-31.242,90.0,top
C2,470pF,C_1206_3216Metric,103.632,-33.528,180.0,top
C3,470uF,C_Elec_8x10.2,86.36,-28.492,90.0,top
C4,0.1uF,C_1206_3216Metric,113.03,-100.838,90.0,top
C5,0.1uF,C_1206_3216Metric,59.944,-64.008,180.0,top
D1,1N5819,D_DO-41_SOD81_P10.16mm_Horizontal,99.568,-24.13,180.0,top
D2,LED-Red,LED_0603_1608Metric,32.98,-111.709,-90.0,top
D3,LED-Red,LED_0603_1608Metric,42.886,-111.963,-90.0,top
D4,LED-Red,LED_0603_1608Metric,53.046,-112.054,-90.0,top
D5,LED-Red,LED_0603_1608Metric,63.206,-112.054,-90.0,top
D6,LED-Red,LED_0603_1608Metric,27.646,-96.52,-90.0,top
D7,LED-Red,LED_0603_1608Metric,37.552,-96.52,-90.0,top
D8,LED-Red,LED_0603_1608Metric,47.458,-96.52,-90.0,top
D9,LED-Red,LED_0603_1608Metric,57.618,-96.52,-90.0,top
D10,LED-Red,LED_0603_1608Metric,90.17,-48.26,90.0,top
D11,1N5819,D_DO-41_SOD81_P10.16mm_Horizontal,81.946,-54.606,180.0,top
D12,LED-Red,LED_0603_1608Metric,108.966,-48.26,90.0,top
D13,LED-Red,LED_0603_1608Metric,127.508,-48.26,90.0,top
D14,LED-Red,LED_0603_1608Metric,146.304,-48.26,90.0,top
D15,1N5819,D_DO-41_SOD81_P10.16mm_Horizontal,100.584,-54.61,180.0,top
D16,1N5819,D_DO-41_SOD81_P10.16mm_Horizontal,119.126,-54.864,180.0,top
D17,1N5819,D_DO-41_SOD81_P10.16mm_Horizontal,137.922,-54.892,180.0,top
D18,LED-Red,LED_0603_1608Metric,91.44,-112.522,180.0,top
D19,LED-Red,LED_0603_1608Metric,105.664,-113.792,0.0,top
D20,LED-Red,LED_0603_1608Metric,113.284,-113.792,0.0,top
D21,LED-Red,LED_0603_1608Metric,124.46,-113.792,180.0,top
D22,LED-Red,LED_0603_1608Metric,30.48,-76.667,180.0,top
D23,LED-Red,LED_0603_1608Metric,40.132,-76.657,180.0,top
D24,LED-Red,LED_0603_1608Metric,50.292,-76.657,180.0,top
D25,LED-Red,LED_0603_1608Metric,60.452,-76.657,180.0,top
D26,LED-Green-PWR,LED_0603_1608Metric,95.845,-34.5,0.0,top
J1,Barrel_Jack,BarrelJack_Horizontal,141.7905,-28.702,-90.0,top
J2,Pedals,"TerminalBlock_Phoenix_MKDS-1,5-8_1x08_P5.00mm_Horizontal",45.68,-124.663,0.0,top
J3,Motors,"TerminalBlock_Phoenix_MKDS-1,5-8_1x08_P5.00mm_Horizontal",105.918,-124.968,0.0,top
K1,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,82.042,-66.9975,-90.0,top
K2,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,100.838,-66.9975,-90.0,top
K3,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,119.38,-66.9975,-90.0,top
K4,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,138.176,-66.9975,-90.0,top
L1,220uH,L_1812_4532Metric,111.8655,-24.13,0.0,top
Q1,MMBT3904,SOT-23,76.866,-49.0965,-90.0,top
Q2,MMBT3904,SOT-23,95.504,-49.1005,-90.0,top
Q3,MMBT3904,SOT-23,114.046,-49.1005,-90.0,top
Q4,MMBT3904,SOT-23,132.842,-49.6365,-90.0,top
Q5,BTA16-800SW,TO-220-3_Vertical,110.49,-88.575,180.0,top
Q6,BTA16-800SW,TO-220-3_Vertical,123.19,-88.575,180.0,top
Q7,BTA16-800SW,TO-220-3_Vertical,85.344,-88.575,180.0,top
Q8,BTA16-800SW,TO-220-3_Vertical,98.044,-88.575,180.0,top
R1,0.33,R_1206_3216Metric,119.126,-33.274,90.0,top
R2,1.2K,R_1206_3216Metric,79.248,-24.384,-90.0,top
R3,3.6K,R_1206_3216Metric,79.248,-30.734,-90.0,top
R4,10.2K,R_1206_3216Metric,81.788,-99.2525,90.0,top
R5,0.11,R_1206_3216Metric,91.948,-99.2525,90.0,top
R6,10.2K,R_1206_3216Metric,85.598,-99.2525,90.0,top
